date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-02,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-03,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-04,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-05,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-06,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-07,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-08,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-09,PICTON,ulp_91,83.9,86.8,90.8,83.9,6
2002-01-10,PICTON,ulp_91,83.9,87.0,90.8,83.9,6
2002-01-11,PICTON,ulp_91,84.5,87.1,90.8,84.5,6
2002-01-12,PICTON,ulp_91,84.5,87.1,90.8,84.5,6
2002-01-13,PICTON,ulp_91,84.5,87.1,90.8,84.5,6
2002-01-14,PICTON,ulp_91,84.5,87.1,90.8,84.5,6
2002-01-15,PICTON,ulp_91,84.5,86.9,89.9,84.5,6
2002-01-16,PICTON,ulp_91,84.5,86.9,89.9,84.5,6
2002-01-17,PICTON,ulp_91,84.5,86.9,89.9,84.5,6
2002-01-18,PICTON,ulp_91,84.5,86.8,89.9,84.5,6
2002-01-19,PICTON,ulp_91,83.5,86.5,89.9,83.5,6
2002-01-20,PICTON,ulp_91,83.5,86.5,89.9,83.5,6
2002-01-21,PICTON,ulp_91,83.5,86.5,89.9,83.5,6
2002-01-22,PICTON,ulp_91,83.5,86.2,89.2,83.5,6
2002-01-23,PICTON,ulp_91,83.5,86.2,89.2,83.5,6
2002-01-24,PICTON,ulp_91,83.5,86.1,89.2,83.5,6
2002-01-25,PICTON,ulp_91,83.5,86.1,89.2,83.5,6
2002-01-26,PICTON,ulp_91,83.5,86.1,89.2,83.5,6
2002-01-27,PICTON,ulp_91,83.5,86.1,89.2,83.5,6
2002-01-28,PICTON,ulp_91,83.5,86.1,89.2,83.5,6
2002-01-29,PICTON,ulp_91,83.5,86.1,89.2,83.5,6
2002-01-30,PICTON,ulp_91,84.1,86.6,89.2,84.1,6
2002-01-31,PICTON,ulp_91,84.1,86.6,89.2,84.1,6
2002-02-01,PICTON,ulp_91,84.1,86.6,89.2,84.1,6
2002-02-02,PICTON,ulp_91,84.1,86.6,89.2,84.1,6
2002-02-03,PICTON,ulp_91,84.1,86.6,89.2,84.1,6
2002-02-04,PICTON,ulp_91,84.1,86.6,89.2,84.1,6
2002-02-05,PICTON,ulp_91,84.1,87.2,90.6,84.1,6
2002-02-06,PICTON,ulp_91,84.1,87.2,90.6,84.1,6
2002-02-07,PICTON,ulp_91,84.9,87.4,90.6,84.9,6
2002-02-08,PICTON,ulp_91,84.9,87.4,90.6,84.9,6
2002-02-09,PICTON,ulp_91,84.9,87.4,90.6,84.9,6
2002-02-10,PICTON,ulp_91,84.9,87.4,90.6,84.9,6
2002-02-11,PICTON,ulp_91,84.9,87.4,90.6,84.9,6
2002-02-12,PICTON,ulp_91,84.9,88.0,91.2,84.9,6
2002-02-13,PICTON,ulp_91,85.9,88.4,91.2,85.9,6
2002-02-14,PICTON,ulp_91,85.9,88.5,91.2,85.9,6
2002-02-15,PICTON,ulp_91,86.5,88.7,91.2,86.5,6
2002-02-16,PICTON,ulp_91,86.5,89.5,93.7,86.5,6
2002-02-17,PICTON,ulp_91,86.5,89.5,93.7,86.5,6
2002-02-18,PICTON,ulp_91,86.5,89.5,93.7,86.5,6
2002-02-19,PICTON,ulp_91,86.5,89.5,93.7,86.5,6
2002-02-20,PICTON,ulp_91,86.5,89.7,93.7,86.5,6
2002-02-21,PICTON,ulp_91,86.5,89.7,93.7,86.5,6
2002-02-22,PICTON,ulp_91,86.5,89.7,93.7,86.5,6
2002-02-23,PICTON,ulp_91,86.5,89.9,94.3,86.5,6
2002-02-24,PICTON,ulp_91,86.5,89.9,94.3,86.5,6
2002-02-25,PICTON,ulp_91,86.5,89.9,94.3,86.5,6
2002-02-26,PICTON,ulp_91,86.5,89.9,94.3,86.5,6
2002-02-27,PICTON,ulp_91,86.5,89.7,94.3,86.5,6
2002-02-28,PICTON,ulp_91,86.5,89.7,94.3,86.5,6
2003-01-01,PICTON,ulp_91,95.5,97.1,99.9,95.5,3
2003-01-02,PICTON,ulp_91,95.5,97.1,99.9,95.5,3
2003-01-03,PICTON,ulp_91,95.5,97.3,99.9,95.5,3
2003-01-04,PICTON,ulp_91,95.5,97.3,99.9,95.5,3
2003-01-05,PICTON,ulp_91,95.5,97.3,99.9,95.5,3
2003-01-06,PICTON,ulp_91,95.5,97.3,99.9,95.5,3
2003-01-07,PICTON,ulp_91,95.5,97.3,99.9,95.5,3
2003-01-08,PICTON,ulp_91,95.5,97.3,99.9,95.5,3
2003-01-09,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-10,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-11,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-12,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-13,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-14,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-15,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-16,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-17,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-18,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-19,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-20,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-21,PICTON,ulp_91,96.5,98.0,99.9,96.5,3
2003-01-22,PICTON,ulp_91,96.5,97.6,98.9,96.5,3
2003-01-23,PICTON,ulp_91,96.5,97.6,98.9,96.5,3
2003-01-24,PICTON,ulp_91,96.5,97.8,98.9,96.5,3
2003-01-25,PICTON,ulp_91,96.5,97.8,98.9,96.5,3
2003-01-26,PICTON,ulp_91,96.5,97.8,98.9,96.5,3
2003-01-27,PICTON,ulp_91,96.5,97.8,98.9,96.5,3
2003-01-28,PICTON,ulp_91,96.5,97.8,98.9,96.5,3
2003-01-29,PICTON,ulp_91,97.9,98.8,100.6,97.9,3
2003-01-30,PICTON,ulp_91,97.9,99.1,100.6,97.9,3
2003-01-31,PICTON,ulp_91,97.9,99.1,100.6,97.9,3
2003-02-01,PICTON,ulp_91,97.9,99.1,100.6,97.9,3
2003-02-02,PICTON,ulp_91,97.9,99.1,100.6,97.9,3
2003-02-03,PICTON,ulp_91,97.9,99.1,100.6,97.9,3
2003-02-04,PICTON,ulp_91,98.5,99.8,101.9,98.5,3
2003-02-05,PICTON,ulp_91,98.5,100.1,101.9,98.5,3
2003-02-06,PICTON,ulp_91,98.5,100.1,101.9,98.5,3
2003-02-07,PICTON,ulp_91,99.5,100.4,101.9,99.5,3
2003-02-08,PICTON,ulp_91,99.5,100.8,101.9,99.5,3
2003-02-09,PICTON,ulp_91,99.5,100.8,101.9,99.5,3
2003-02-10,PICTON,ulp_91,99.5,100.8,101.9,99.5,3
2003-02-11,PICTON,ulp_91,100.9,101.9,103.9,100.9,3
2003-02-12,PICTON,ulp_91,101.0,102.3,103.9,101.0,3
2003-02-13,PICTON,ulp_91,101.0,102.3,103.9,101.0,3
2003-02-14,PICTON,ulp_91,102.5,103.1,103.9,102.5,3
2003-02-15,PICTON,ulp_91,102.5,103.1,103.9,102.5,3
2003-02-16,PICTON,ulp_91,102.5,103.1,103.9,102.5,3
2003-02-17,PICTON,ulp_91,102.5,103.1,103.9,102.5,3
2003-02-18,PICTON,ulp_91,102.5,104.0,105.7,102.5,3
2003-02-19,PICTON,ulp_91,102.5,104.0,105.7,102.5,3
2003-02-20,PICTON,ulp_91,103.0,104.2,105.7,103.0,3
2003-02-21,PICTON,ulp_91,103.0,104.5,105.7,103.0,3
2003-02-22,PICTON,ulp_91,103.0,104.5,105.7,103.0,3
2003-02-23,PICTON,ulp_91,103.0,104.5,105.7,103.0,3
2003-02-24,PICTON,ulp_91,103.0,104.5,105.7,103.0,3
2003-02-25,PICTON,ulp_91,104.0,105.4,107.4,104.0,3
2003-02-26,PICTON,ulp_91,104.0,105.4,107.4,104.0,3
2003-02-27,PICTON,ulp_91,104.0,105.4,107.4,104.0,3
2003-02-28,PICTON,ulp_91,104.0,105.4,107.4,104.0,3
2004-01-01,PICTON,ulp_91,93.9,95.7,98.3,93.9,3
2004-01-02,PICTON,ulp_91,93.9,95.7,98.3,93.9,3
2004-01-03,PICTON,ulp_91,94.9,96.0,98.3,94.9,3
2004-01-04,PICTON,ulp_91,94.9,96.0,98.3,94.9,3
2004-01-05,PICTON,ulp_91,94.9,96.0,98.3,94.9,3
2004-01-06,PICTON,ulp_91,94.9,96.2,98.9,94.9,3
2004-01-07,PICTON,ulp_91,94.9,96.6,98.9,94.9,3
2004-01-08,PICTON,ulp_91,94.9,96.6,98.9,94.9,3
2004-01-09,PICTON,ulp_91,94.9,96.6,98.9,94.9,3
2004-01-10,PICTON,ulp_91,94.9,96.6,98.9,94.9,3
2004-01-11,PICTON,ulp_91,94.9,96.6,98.9,94.9,3
2004-01-12,PICTON,ulp_91,94.9,96.6,98.9,94.9,3
2004-01-13,PICTON,ulp_91,94.9,96.9,99.9,94.9,3
2004-01-14,PICTON,ulp_91,95.9,97.9,99.9,95.9,3
2004-01-15,PICTON,ulp_91,95.9,97.9,99.9,95.9,3
2004-01-16,PICTON,ulp_91,97.9,98.6,99.9,97.9,3
2004-01-17,PICTON,ulp_91,97.9,98.6,99.9,97.9,3
2004-01-18,PICTON,ulp_91,97.9,98.6,99.9,97.9,3
2004-01-19,PICTON,ulp_91,97.9,98.6,99.9,97.9,3
2004-01-20,PICTON,ulp_91,97.9,98.6,99.9,97.9,3
2004-01-21,PICTON,ulp_91,97.9,99.9,102.9,97.9,3
2004-01-22,PICTON,ulp_91,97.9,99.9,102.9,97.9,3
2004-01-23,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-24,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-25,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-26,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-27,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-28,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-29,PICTON,ulp_91,97.9,99.6,102.9,97.9,3
2004-01-30,PICTON,ulp_91,96.9,99.2,102.9,96.9,3
2004-01-31,PICTON,ulp_91,96.9,98.5,101.7,96.9,3
2004-02-01,PICTON,ulp_91,96.9,98.5,101.7,96.9,3
2004-02-02,PICTON,ulp_91,96.9,98.5,101.7,96.9,3
2004-02-03,PICTON,ulp_91,95.9,98.2,101.7,95.9,3
2004-02-04,PICTON,ulp_91,95.9,98.2,101.7,95.9,3
2004-02-05,PICTON,ulp_91,95.9,97.8,101.7,95.9,3
2004-02-06,PICTON,ulp_91,95.9,96.6,97.9,95.9,3
2004-02-07,PICTON,ulp_91,94.9,96.2,97.9,94.9,3
2004-02-08,PICTON,ulp_91,94.9,96.2,97.9,94.9,3
2004-02-09,PICTON,ulp_91,94.9,96.2,97.9,94.9,3
2004-02-10,PICTON,ulp_91,94.9,95.9,97.9,94.9,3
2004-02-11,PICTON,ulp_91,94.9,95.9,97.9,94.9,3
2004-02-12,PICTON,ulp_91,94.9,95.9,97.9,94.9,3
2004-02-13,PICTON,ulp_91,93.9,95.6,97.9,93.9,3
2004-02-14,PICTON,ulp_91,93.9,95.6,97.9,93.9,3
2004-02-15,PICTON,ulp_91,93.9,95.6,97.9,93.9,3
2004-02-16,PICTON,ulp_91,93.9,95.2,97.9,93.9,3
2004-02-17,PICTON,ulp_91,93.9,94.4,95.4,93.9,3
2004-02-18,PICTON,ulp_91,93.9,94.4,95.4,93.9,3
2004-02-19,PICTON,ulp_91,93.9,94.4,95.4,93.9,3
2004-02-20,PICTON,ulp_91,93.9,94.4,95.4,93.9,3
2004-02-21,PICTON,ulp_91,92.9,94.1,95.4,92.9,3
2004-02-22,PICTON,ulp_91,92.9,94.1,95.4,92.9,3
2004-02-23,PICTON,ulp_91,92.9,94.1,95.4,92.9,3
2004-02-24,PICTON,ulp_91,92.9,94.1,95.4,92.9,3
2004-02-25,PICTON,ulp_91,92.9,94.1,95.4,92.9,3
2004-02-26,PICTON,ulp_91,92.9,93.9,94.9,92.9,3
2004-02-27,PICTON,ulp_91,92.9,93.9,94.9,92.9,3
2004-02-28,PICTON,ulp_91,93.9,94.6,94.9,93.9,3
2004-02-29,PICTON,ulp_91,93.9,94.6,94.9,93.9,3
2005-01-01,PICTON,ulp_91,99.9,101.2,103.9,99.9,3
2005-01-02,PICTON,ulp_91,99.9,101.2,103.9,99.9,3
2005-01-03,PICTON,ulp_91,99.9,101.2,103.9,99.9,3
2005-01-04,PICTON,ulp_91,99.9,101.2,103.9,99.9,3
2005-01-05,PICTON,ulp_91,98.9,100.4,102.3,98.9,3
2005-01-06,PICTON,ulp_91,98.9,100.4,102.3,98.9,3
2005-01-07,PICTON,ulp_91,98.9,100.4,102.3,98.9,3
2005-01-08,PICTON,ulp_91,98.9,100.4,102.3,98.9,3
2005-01-09,PICTON,ulp_91,98.9,100.4,102.3,98.9,3
2005-01-10,PICTON,ulp_91,98.9,100.4,102.3,98.9,3
2005-01-11,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-12,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-13,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-14,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-15,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-16,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-17,PICTON,ulp_91,98.9,100.0,102.3,98.9,3
2005-01-18,PICTON,ulp_91,99.9,101.2,103.8,99.9,3
2005-01-19,PICTON,ulp_91,99.9,101.2,103.8,99.9,3
2005-01-20,PICTON,ulp_91,99.9,101.5,103.8,99.9,3
2005-01-21,PICTON,ulp_91,100.9,102.2,103.8,100.9,3
2005-01-22,PICTON,ulp_91,101.9,102.5,103.8,101.9,3
2005-01-23,PICTON,ulp_91,101.9,102.5,103.8,101.9,3
2005-01-24,PICTON,ulp_91,101.9,102.5,103.8,101.9,3
2005-01-25,PICTON,ulp_91,101.9,103.6,106.9,101.9,3
2005-01-26,PICTON,ulp_91,101.9,103.6,106.9,101.9,3
2005-01-27,PICTON,ulp_91,101.9,103.6,106.9,101.9,3
2005-01-28,PICTON,ulp_91,101.9,103.9,106.9,101.9,3
2005-01-29,PICTON,ulp_91,101.9,103.9,106.9,101.9,3
2005-01-30,PICTON,ulp_91,101.9,103.9,106.9,101.9,3
2005-01-31,PICTON,ulp_91,101.9,103.9,106.9,101.9,3
2005-02-01,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-02,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-03,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-04,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-05,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-06,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-07,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-08,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-09,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-10,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-11,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-12,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-13,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-14,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-15,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-16,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-17,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-18,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-19,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-20,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-21,PICTON,ulp_91,102.9,104.6,106.9,102.9,3
2005-02-22,PICTON,ulp_91,102.9,104.9,107.9,102.9,3
2005-02-23,PICTON,ulp_91,102.9,104.9,107.9,102.9,3
2005-02-24,PICTON,ulp_91,102.9,105.2,107.9,102.9,3
2005-02-25,PICTON,ulp_91,103.9,105.6,107.9,103.9,3
2005-02-26,PICTON,ulp_91,103.9,105.6,107.9,103.9,3
2005-02-27,PICTON,ulp_91,103.9,105.6,107.9,103.9,3
2005-02-28,PICTON,ulp_91,103.9,105.9,107.9,103.9,3
2006-01-01,PICTON,ulp_91,116.9,118.2,119.9,116.9,3
2006-01-02,PICTON,ulp_91,116.9,118.2,119.9,116.9,3
2006-01-03,PICTON,ulp_91,116.9,118.2,119.9,116.9,3
2006-01-04,PICTON,ulp_91,117.9,118.9,119.9,117.9,3
2006-01-05,PICTON,ulp_91,117.9,118.9,119.9,117.9,3
2006-01-06,PICTON,ulp_91,117.9,119.2,120.9,117.9,3
2006-01-07,PICTON,ulp_91,117.9,119.2,120.9,117.9,3
2006-01-08,PICTON,ulp_91,117.9,119.6,121.9,117.9,3
2006-01-09,PICTON,ulp_91,117.9,119.6,121.9,117.9,3
2006-01-10,PICTON,ulp_91,118.9,120.6,122.9,118.9,3
2006-01-11,PICTON,ulp_91,118.9,120.9,122.9,118.9,3
2006-01-12,PICTON,ulp_91,120.9,121.6,122.9,120.9,3
2006-01-13,PICTON,ulp_91,120.9,121.6,122.9,120.9,3
2006-01-14,PICTON,ulp_91,120.9,121.6,122.9,120.9,3
2006-01-15,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-01-16,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-01-17,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-18,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-19,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-20,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-21,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-22,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-23,PICTON,ulp_91,120.9,122.6,125.9,120.9,3
2006-01-24,PICTON,ulp_91,120.9,122.9,125.9,120.9,3
2006-01-25,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2006-01-26,PICTON,ulp_91,120.9,122.6,124.9,120.9,3
2006-01-27,PICTON,ulp_91,120.9,122.6,124.9,120.9,3
2006-01-28,PICTON,ulp_91,120.9,122.6,124.9,120.9,3
2006-01-29,PICTON,ulp_91,120.9,122.6,124.9,120.9,3
2006-01-30,PICTON,ulp_91,120.9,122.6,124.9,120.9,3
2006-01-31,PICTON,ulp_91,120.9,123.2,125.9,120.9,3
2006-02-01,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-02,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-03,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-04,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-05,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-06,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-07,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-08,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-09,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-10,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-11,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-12,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-13,PICTON,ulp_91,122.9,123.9,125.9,122.9,3
2006-02-14,PICTON,ulp_91,122.9,123.2,123.9,122.9,3
2006-02-15,PICTON,ulp_91,122.9,123.2,123.9,122.9,3
2006-02-16,PICTON,ulp_91,122.9,123.2,123.9,122.9,3
2006-02-17,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2006-02-18,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2006-02-19,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2006-02-20,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2006-02-21,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2006-02-22,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-02-23,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-02-24,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-02-25,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-02-26,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-02-27,PICTON,ulp_91,120.9,121.9,123.9,120.9,3
2006-02-28,PICTON,ulp_91,120.9,122.2,123.9,120.9,3
2007-01-01,PICTON,ulp_91,118.9,122.9,130.9,118.9,3
2007-01-02,PICTON,ulp_91,118.9,122.9,130.9,118.9,3
2007-01-03,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-04,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-05,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-06,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-07,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-08,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-09,PICTON,ulp_91,118.9,123.9,130.9,118.9,3
2007-01-10,PICTON,ulp_91,118.9,120.9,123.8,118.9,3
2007-01-11,PICTON,ulp_91,118.9,120.9,123.8,118.9,3
2007-01-12,PICTON,ulp_91,118.9,120.9,123.8,118.9,3
2007-01-13,PICTON,ulp_91,118.9,119.9,120.8,118.9,3
2007-01-14,PICTON,ulp_91,118.9,119.9,120.8,118.9,3
2007-01-15,PICTON,ulp_91,118.9,119.9,120.8,118.9,3
2007-01-16,PICTON,ulp_91,118.9,119.5,120.8,118.9,3
2007-01-17,PICTON,ulp_91,117.9,119.2,120.8,117.9,3
2007-01-18,PICTON,ulp_91,117.9,118.9,120.8,117.9,3
2007-01-19,PICTON,ulp_91,117.9,118.9,120.8,117.9,3
2007-01-20,PICTON,ulp_91,117.9,118.9,120.8,117.9,3
2007-01-21,PICTON,ulp_91,117.9,118.9,120.8,117.9,3
2007-01-22,PICTON,ulp_91,117.9,118.9,120.8,117.9,3
2007-01-23,PICTON,ulp_91,115.9,116.2,116.8,115.9,3
2007-01-24,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-25,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-26,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-27,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-28,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-29,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-30,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-01-31,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-02-01,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-02-02,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-02-03,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-02-04,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-02-05,PICTON,ulp_91,113.9,114.9,116.8,113.9,3
2007-02-06,PICTON,ulp_91,113.9,115.5,116.8,113.9,3
2007-02-07,PICTON,ulp_91,113.9,115.5,116.8,113.9,3
2007-02-08,PICTON,ulp_91,114.9,115.9,116.8,114.9,3
2007-02-09,PICTON,ulp_91,115.9,116.2,116.8,115.9,3
2007-02-10,PICTON,ulp_91,115.9,116.2,116.8,115.9,3
2007-02-11,PICTON,ulp_91,115.9,116.2,116.8,115.9,3
2007-02-12,PICTON,ulp_91,115.9,116.2,116.8,115.9,3
2007-02-13,PICTON,ulp_91,115.9,116.9,117.9,115.9,3
2007-02-14,PICTON,ulp_91,116.8,117.2,117.9,116.8,3
2007-02-15,PICTON,ulp_91,116.8,117.2,117.9,116.8,3
2007-02-16,PICTON,ulp_91,116.8,117.2,117.9,116.8,3
2007-02-17,PICTON,ulp_91,116.8,117.2,117.9,116.8,3
2007-02-18,PICTON,ulp_91,116.8,117.2,117.9,116.8,3
2007-02-19,PICTON,ulp_91,116.8,117.2,117.9,116.8,3
2007-02-20,PICTON,ulp_91,115.9,116.9,117.9,115.9,3
2007-02-21,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-22,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-23,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-24,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-25,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-26,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-27,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2007-02-28,PICTON,ulp_91,115.9,116.5,116.9,115.9,3
2008-01-01,PICTON,ulp_91,138.9,139.4,139.9,138.9,2
2008-01-02,PICTON,ulp_91,138.9,139.4,139.9,138.9,2
2008-01-03,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-04,PICTON,ulp_91,139.9,140.4,140.9,139.9,2
2008-01-05,PICTON,ulp_91,139.9,140.4,140.9,139.9,2
2008-01-06,PICTON,ulp_91,139.9,140.4,140.9,139.9,2
2008-01-07,PICTON,ulp_91,139.9,140.4,140.9,139.9,2
2008-01-08,PICTON,ulp_91,139.9,140.4,140.9,139.9,2
2008-01-09,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-10,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-11,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-12,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-13,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-14,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-15,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-16,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-17,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-18,PICTON,ulp_91,140.9,141.9,142.9,140.9,2
2008-01-19,PICTON,ulp_91,140.9,140.9,140.9,140.9,2
2008-01-20,PICTON,ulp_91,140.9,140.9,140.9,140.9,2
2008-01-21,PICTON,ulp_91,140.9,140.9,140.9,140.9,2
2008-01-22,PICTON,ulp_91,139.9,140.4,140.9,139.9,2
2008-01-23,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-24,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-25,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-26,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-27,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-28,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-29,PICTON,ulp_91,139.9,139.9,139.9,139.9,2
2008-01-30,PICTON,ulp_91,138.9,139.4,139.9,138.9,2
2008-01-31,PICTON,ulp_91,138.9,139.4,139.9,138.9,2
2008-02-01,PICTON,ulp_91,137.9,138.9,139.9,137.9,2
